task_id,task_name,arrival_time,execution_time,deadline,priority,cpu_req,memory_req,storage_req,data_transfer_size,task_type,dependencies,sla_critical
T2429,Task_2429,8,9,69,5,1,433,773,249,computation,"T802,T880",False
T2430,Task_2430,44,4,37,4,4,1300,492,98,data-intensive,,True
T2431,Task_2431,5,3,20,3,1,635,275,294,computation,"T103,T1827",False
T2432,Task_2432,37,6,57,5,1,1177,699,369,data-intensive,T1369,True
T2433,Task_2433,4,5,31,3,4,967,935,270,IO-bound,,False
T2434,Task_2434,0,3,58,1,1,579,260,257,IO-bound,T1255,False
T2435,Task_2435,22,6,41,1,1,1130,107,185,computation,,True
T2436,Task_2436,24,7,21,2,1,512,787,269,computation,T542,False
T2437,Task_2437,45,8,20,3,2,2042,186,224,data-intensive,T352,False
T2438,Task_2438,23,6,69,4,3,1092,379,300,computation,T2359,True
T2439,Task_2439,16,6,87,5,4,1626,661,154,data-intensive,"T2177,T2163",False
T2440,Task_2440,0,5,77,3,4,1751,931,36,computation,T2362,False
T2441,Task_2441,12,8,40,5,3,1955,680,482,data-intensive,T991,False
T2442,Task_2442,5,7,86,4,1,958,372,332,computation,"T1058,T1008",False
T2443,Task_2443,38,9,29,2,4,1825,661,223,computation,,True
T2444,Task_2444,23,5,39,1,1,1412,277,306,data-intensive,,True
T2445,Task_2445,30,6,22,5,4,362,153,443,IO-bound,T961,False
T2446,Task_2446,49,1,25,4,4,1764,214,290,computation,T187,True
T2447,Task_2447,9,3,48,4,3,260,261,388,data-intensive,T1111,False
T2448,Task_2448,5,1,96,1,3,559,355,222,IO-bound,,True
T2449,Task_2449,18,2,49,3,2,1481,223,462,IO-bound,T1694,True
T2450,Task_2450,48,4,62,4,1,1283,509,385,IO-bound,T245,True
T2451,Task_2451,5,1,71,5,4,794,513,168,IO-bound,T853,False
T2452,Task_2452,42,6,41,5,3,1558,650,88,computation,,True
T2453,Task_2453,27,5,93,5,2,2046,722,374,IO-bound,,False
T2454,Task_2454,17,8,20,1,4,1693,429,154,computation,T1698,False
T2455,Task_2455,2,3,46,5,4,876,409,29,data-intensive,,True
T2456,Task_2456,7,6,98,4,2,334,407,80,computation,,True
T2457,Task_2457,4,3,35,5,3,1389,481,390,data-intensive,"T586,T170",False
T2458,Task_2458,9,5,35,5,4,1487,331,54,computation,T447,True
T2459,Task_2459,0,5,71,4,3,1155,319,117,computation,,False
T2460,Task_2460,3,1,62,4,1,345,288,387,IO-bound,T2187,False
T2461,Task_2461,22,10,32,2,1,670,736,273,data-intensive,"T1274,T2294",True
T2462,Task_2462,41,7,98,3,2,1463,876,79,data-intensive,"T1027,T829",False
T2463,Task_2463,13,5,52,1,4,619,316,99,IO-bound,"T2440,T479",True
T2464,Task_2464,34,9,97,5,3,330,852,385,data-intensive,,False
T2465,Task_2465,36,3,46,1,4,511,176,201,data-intensive,T314,True
T2466,Task_2466,18,10,36,5,4,370,144,450,computation,"T1287,T1784",True
T2467,Task_2467,33,10,85,1,3,1146,877,404,data-intensive,"T1542,T1206",False
T2468,Task_2468,24,8,21,2,4,1747,402,461,IO-bound,"T1429,T2141",True
T2469,Task_2469,47,10,44,1,1,1289,305,221,computation,,False
T2470,Task_2470,12,6,54,1,2,382,164,329,data-intensive,,True
T2471,Task_2471,9,10,65,2,3,428,166,301,data-intensive,"T2074,T266",True
T2472,Task_2472,43,7,41,4,2,1638,946,263,computation,T466,True
T2473,Task_2473,7,8,71,5,3,898,741,284,data-intensive,"T1396,T48",False
T2474,Task_2474,46,5,63,2,3,645,270,430,data-intensive,,True
T2475,Task_2475,41,2,34,5,3,1742,926,428,data-intensive,,False
T2476,Task_2476,1,1,47,2,3,1555,907,463,computation,"T2083,T1927",False
T2477,Task_2477,7,10,37,1,1,753,238,94,IO-bound,"T2286,T46",False
T2478,Task_2478,40,5,21,1,3,356,454,446,IO-bound,T277,False
T2479,Task_2479,11,4,64,2,1,934,999,249,IO-bound,,False
T2480,Task_2480,33,6,31,3,1,910,768,190,computation,T669,False
T2481,Task_2481,9,9,40,3,1,1736,911,362,computation,"T49,T2374",True
T2482,Task_2482,4,10,66,4,1,472,195,26,computation,"T1671,T1075",False
T2483,Task_2483,25,2,85,4,3,1383,195,471,computation,,True
T2484,Task_2484,38,9,60,1,1,920,956,374,data-intensive,,False
T2485,Task_2485,10,7,88,2,3,424,122,267,data-intensive,T2389,False
T2486,Task_2486,38,7,24,2,2,1204,970,282,computation,T1334,False
T2487,Task_2487,28,8,70,1,2,340,667,22,computation,"T653,T479",False
T2488,Task_2488,48,6,65,3,3,693,487,269,computation,T1172,False
T2489,Task_2489,23,5,75,4,1,594,868,175,data-intensive,,True
T2490,Task_2490,40,4,47,5,2,386,315,142,IO-bound,T1763,False
T2491,Task_2491,5,4,47,2,1,1604,188,407,data-intensive,T331,False
T2492,Task_2492,2,3,77,4,3,377,488,170,data-intensive,T281,False
T2493,Task_2493,10,8,64,1,4,1728,845,224,data-intensive,,False
T2494,Task_2494,44,8,61,4,4,1731,150,96,computation,T1594,False
T2495,Task_2495,43,9,33,3,2,870,843,93,data-intensive,"T2139,T96",True
T2496,Task_2496,15,1,87,3,4,1325,872,418,IO-bound,,True
T2497,Task_2497,19,7,30,3,3,551,713,67,data-intensive,,True
T2498,Task_2498,46,9,50,1,1,565,477,360,computation,"T1086,T816",True
T2499,Task_2499,21,7,89,5,3,617,809,328,data-intensive,T1298,True
T2500,Task_2500,3,6,70,1,3,734,156,373,data-intensive,,False
T2501,Task_2501,17,4,89,2,2,649,336,106,computation,T1655,False
T2502,Task_2502,7,2,69,5,2,1890,369,268,computation,"T1834,T1209",False
T2503,Task_2503,28,5,56,5,2,1810,855,394,computation,,True
T2504,Task_2504,32,4,41,2,1,284,222,179,data-intensive,T1687,False
T2505,Task_2505,37,6,50,3,4,1780,520,112,data-intensive,,False
T2506,Task_2506,20,5,24,1,4,945,919,0,data-intensive,"T2499,T2418",True
T2507,Task_2507,43,1,56,2,1,832,515,249,data-intensive,"T537,T75",True
T2508,Task_2508,36,2,49,2,2,1187,970,236,computation,"T1486,T1168",True
T2509,Task_2509,38,6,38,1,4,1612,734,270,IO-bound,"T2184,T1230",True
T2510,Task_2510,46,6,74,1,1,1523,346,415,computation,"T858,T2007",True
T2511,Task_2511,42,7,99,3,2,698,602,491,computation,T1820,False
T2512,Task_2512,12,2,92,4,3,1623,947,28,data-intensive,,True
T2513,Task_2513,33,6,62,1,1,1014,893,84,computation,T1714,True
T2514,Task_2514,31,5,35,4,4,515,526,421,IO-bound,T1972,False
T2515,Task_2515,29,4,74,2,2,970,360,415,computation,,True
T2516,Task_2516,14,6,87,1,1,484,437,433,IO-bound,T20,True
T2517,Task_2517,32,10,70,1,3,1994,799,328,IO-bound,T827,True
T2518,Task_2518,34,7,50,2,3,1803,125,327,data-intensive,"T442,T1111",False
T2519,Task_2519,36,6,54,4,3,727,766,413,IO-bound,,False
T2520,Task_2520,43,1,75,3,1,698,566,470,IO-bound,,True
T2521,Task_2521,19,3,50,3,4,1535,473,52,computation,T286,True
T2522,Task_2522,49,9,72,4,3,878,689,131,data-intensive,,True
T2523,Task_2523,16,8,71,4,4,1419,636,72,IO-bound,T1671,False
T2524,Task_2524,4,7,94,1,2,1013,702,293,computation,,True
T2525,Task_2525,50,4,45,3,3,1438,100,256,data-intensive,,False
T2526,Task_2526,5,9,54,2,4,374,981,231,data-intensive,"T685,T187",False
T2527,Task_2527,26,9,70,5,2,496,980,51,computation,T18,True
T2528,Task_2528,35,1,92,2,4,316,848,314,IO-bound,,False
T2529,Task_2529,2,8,53,5,4,332,824,290,computation,"T2036,T950",False
T2530,Task_2530,41,5,34,2,1,1071,141,166,IO-bound,T1912,True
T2531,Task_2531,21,2,28,3,1,1184,896,146,computation,T622,True
T2532,Task_2532,18,8,55,3,3,518,348,161,data-intensive,"T2086,T953",False
T2533,Task_2533,2,6,89,4,3,1899,306,102,IO-bound,,True
T2534,Task_2534,11,2,45,1,2,739,865,423,data-intensive,"T384,T878",False
T2535,Task_2535,31,2,86,3,1,2040,736,287,data-intensive,,True
T2536,Task_2536,47,1,72,3,1,338,791,275,IO-bound,"T1743,T1982",False
T2537,Task_2537,15,2,82,5,1,1171,134,337,IO-bound,"T2496,T921",True
T2538,Task_2538,41,10,91,5,3,975,564,358,IO-bound,T717,True
T2539,Task_2539,25,2,63,4,1,1555,780,297,computation,T1804,False
T2540,Task_2540,19,8,85,1,3,1215,211,492,data-intensive,T186,True
T2541,Task_2541,32,9,77,3,1,1148,381,470,data-intensive,,False
T2542,Task_2542,21,4,68,3,2,1520,973,155,IO-bound,T1304,False
T2543,Task_2543,47,1,75,4,1,1968,169,196,IO-bound,"T159,T170",False
T2544,Task_2544,24,8,65,3,4,1623,891,78,IO-bound,T2385,False
T2545,Task_2545,15,9,72,1,1,1783,630,157,data-intensive,T2282,False
T2546,Task_2546,10,10,79,4,4,1832,129,466,IO-bound,,False
T2547,Task_2547,10,8,86,4,2,1511,786,456,data-intensive,"T1113,T2285",True
T2548,Task_2548,30,2,42,2,1,453,902,358,IO-bound,T2199,True
T2549,Task_2549,34,4,30,4,1,1282,711,19,data-intensive,,False
T2550,Task_2550,46,9,55,3,3,1265,948,144,computation,"T1868,T1243",False
T2551,Task_2551,24,5,92,2,3,1386,610,439,IO-bound,"T31,T1042",True
T2552,Task_2552,6,2,78,1,1,1416,162,419,IO-bound,"T894,T28",False
T2553,Task_2553,38,2,48,2,3,628,228,438,computation,T2087,False
T2554,Task_2554,50,10,64,5,2,2027,821,408,data-intensive,,True
T2555,Task_2555,46,1,87,3,3,1915,267,145,data-intensive,"T946,T1777",True
T2556,Task_2556,21,4,51,1,3,1313,795,172,data-intensive,,True
T2557,Task_2557,3,8,77,1,4,2011,615,369,IO-bound,,True
T2558,Task_2558,4,6,90,2,3,1181,917,230,IO-bound,"T1568,T2064",True
T2559,Task_2559,48,5,62,4,1,1686,382,355,computation,,True
T2560,Task_2560,30,3,78,5,3,598,153,155,IO-bound,,True
T2561,Task_2561,24,6,93,2,2,1151,695,361,IO-bound,T2096,False
T2562,Task_2562,12,10,67,5,1,1446,492,132,data-intensive,,False
T2563,Task_2563,40,7,40,5,3,1948,781,252,IO-bound,,True
T2564,Task_2564,37,2,63,1,4,697,408,18,data-intensive,T1505,True
T2565,Task_2565,44,7,24,4,3,488,847,144,computation,,False
T2566,Task_2566,17,5,54,5,3,1034,897,364,data-intensive,"T1250,T1579",True
T2567,Task_2567,49,4,43,5,4,1920,408,11,IO-bound,T2189,False
T2568,Task_2568,43,6,38,2,3,577,282,484,data-intensive,,True
T2569,Task_2569,19,3,47,1,1,1688,327,151,computation,,False
T2570,Task_2570,2,3,87,2,2,1613,314,108,data-intensive,T90,True
T2571,Task_2571,41,2,56,4,1,1202,652,448,computation,"T1259,T794",True
T2572,Task_2572,31,3,97,1,2,1240,666,399,IO-bound,T2147,True
T2573,Task_2573,38,1,42,2,2,1701,305,177,IO-bound,"T1283,T117",False
T2574,Task_2574,43,9,93,1,3,266,511,283,data-intensive,,False
T2575,Task_2575,28,2,49,4,4,313,191,223,data-intensive,,False
T2576,Task_2576,2,7,45,3,1,1985,812,119,data-intensive,,False
T2577,Task_2577,12,2,86,4,3,554,857,62,data-intensive,"T605,T1170",True
T2578,Task_2578,28,3,38,4,2,816,578,57,data-intensive,"T2180,T803",False
T2579,Task_2579,6,2,84,2,3,1681,522,384,data-intensive,"T2161,T1369",True
T2580,Task_2580,9,1,92,4,2,513,147,357,IO-bound,,False
T2581,Task_2581,4,5,50,5,2,1205,883,323,computation,,False
T2582,Task_2582,26,5,67,5,3,1937,751,438,computation,T1150,True
T2583,Task_2583,37,9,71,4,4,1039,573,127,computation,"T1619,T1143",True
T2584,Task_2584,39,5,91,5,3,600,119,367,IO-bound,,True
T2585,Task_2585,46,7,91,1,2,350,115,474,data-intensive,T1635,True
T2586,Task_2586,46,6,41,2,3,763,543,41,computation,"T1157,T2392",False
T2587,Task_2587,28,2,50,3,1,275,393,100,data-intensive,T781,False
T2588,Task_2588,14,2,69,4,1,332,470,451,IO-bound,"T505,T1885",False
T2589,Task_2589,46,8,76,3,4,1338,584,219,IO-bound,"T580,T2225",False
T2590,Task_2590,37,6,42,4,4,1523,570,320,IO-bound,T2299,True
T2591,Task_2591,30,7,27,4,4,1073,794,212,computation,"T124,T1185",True
T2592,Task_2592,39,2,32,4,1,431,221,260,IO-bound,T1843,True
T2593,Task_2593,9,4,39,4,1,1162,991,68,IO-bound,"T1260,T1469",True
T2594,Task_2594,10,2,89,5,1,1808,184,389,computation,"T2589,T1253",False
T2595,Task_2595,29,6,66,3,1,625,485,220,IO-bound,T1302,True
T2596,Task_2596,21,1,33,5,4,1304,105,318,IO-bound,T31,False
T2597,Task_2597,40,5,72,2,2,540,334,172,computation,,True
T2598,Task_2598,20,10,94,2,1,1545,590,45,computation,,True
T2599,Task_2599,43,2,21,4,4,1605,995,452,computation,,False
T2600,Task_2600,40,1,70,2,4,383,418,481,computation,"T2385,T457",False
T2601,Task_2601,31,7,63,2,2,309,113,335,data-intensive,"T296,T2569",False
T2602,Task_2602,46,5,45,4,3,573,770,9,data-intensive,T1015,False
T2603,Task_2603,37,2,60,2,3,1184,762,195,IO-bound,,True
T2604,Task_2604,30,7,36,1,1,848,431,11,IO-bound,T1621,False
T2605,Task_2605,0,2,73,5,2,1528,106,489,data-intensive,"T1251,T78",False
T2606,Task_2606,41,3,44,3,3,1290,800,142,data-intensive,,True
T2607,Task_2607,17,8,30,1,2,1654,539,73,data-intensive,T1833,True
T2608,Task_2608,8,2,33,5,1,562,898,125,IO-bound,,True
T2609,Task_2609,17,1,36,5,2,1856,316,79,data-intensive,,True
T2610,Task_2610,27,9,63,5,4,1832,167,451,IO-bound,T2090,True
T2611,Task_2611,13,10,79,3,2,1100,885,276,data-intensive,T1334,True
T2612,Task_2612,10,3,37,4,1,1465,894,379,IO-bound,"T573,T1828",False
T2613,Task_2613,32,8,96,2,4,989,257,126,IO-bound,,False
T2614,Task_2614,5,10,28,3,4,1538,469,189,computation,T1288,True
T2615,Task_2615,36,10,84,5,4,272,645,218,data-intensive,,True
T2616,Task_2616,39,6,37,1,2,423,106,17,data-intensive,T76,True
T2617,Task_2617,14,6,78,1,3,1622,379,40,computation,,True
T2618,Task_2618,33,6,75,5,4,2023,567,203,IO-bound,T2195,True
T2619,Task_2619,23,9,41,2,4,534,964,231,data-intensive,"T2453,T1410",False
T2620,Task_2620,38,2,66,5,2,1807,433,493,computation,,False
T2621,Task_2621,30,4,43,3,4,594,576,459,computation,,True
T2622,Task_2622,10,6,59,4,2,594,436,490,IO-bound,"T1763,T1176",True
T2623,Task_2623,26,8,24,3,4,1881,617,189,IO-bound,,True
T2624,Task_2624,7,6,48,1,2,1645,731,139,data-intensive,T131,True
T2625,Task_2625,41,5,96,3,4,1064,460,341,data-intensive,T994,True
T2626,Task_2626,30,2,42,5,2,1337,660,336,IO-bound,"T313,T869",False
T2627,Task_2627,0,1,53,2,4,1496,143,310,data-intensive,,False
T2628,Task_2628,9,5,31,3,2,1875,635,338,computation,T1771,False
T2629,Task_2629,6,3,34,1,2,1322,194,446,computation,T12,True
T2630,Task_2630,20,9,52,1,4,1987,319,268,IO-bound,"T1843,T1694",True
T2631,Task_2631,18,5,66,3,2,1977,533,99,computation,"T592,T1499",False
T2632,Task_2632,11,2,49,4,4,588,129,433,data-intensive,,False
T2633,Task_2633,48,4,35,3,4,673,650,472,computation,"T968,T2329",False
T2634,Task_2634,31,10,35,4,1,786,844,215,data-intensive,T1987,True
T2635,Task_2635,34,8,64,3,1,1602,558,217,computation,,True
T2636,Task_2636,45,3,66,5,4,954,677,302,IO-bound,,False
T2637,Task_2637,16,7,58,5,2,904,786,433,IO-bound,"T346,T2170",True
T2638,Task_2638,18,5,65,2,1,1233,856,251,computation,T740,False
T2639,Task_2639,25,2,53,3,1,605,832,247,IO-bound,T2140,True
T2640,Task_2640,30,3,75,5,4,1523,595,289,IO-bound,T1909,False
T2641,Task_2641,39,6,60,5,1,746,393,173,data-intensive,"T2201,T670",True
T2642,Task_2642,15,1,76,5,1,1676,361,164,computation,"T54,T1974",False
T2643,Task_2643,1,2,35,2,2,489,330,159,computation,"T2503,T1995",True
T2644,Task_2644,45,10,29,2,3,996,353,438,computation,"T1105,T9",True
T2645,Task_2645,18,1,49,2,3,1296,878,70,computation,"T1080,T854",False
T2646,Task_2646,10,8,55,1,3,1356,358,68,IO-bound,"T2565,T2377",False
T2647,Task_2647,40,7,48,1,3,428,345,100,IO-bound,,False
T2648,Task_2648,19,8,51,4,2,1117,718,400,computation,T1177,True
T2649,Task_2649,27,8,84,5,2,1552,135,499,IO-bound,"T2542,T805",True
T2650,Task_2650,8,3,37,2,3,1682,887,421,computation,,True
T2651,Task_2651,7,9,55,4,1,1373,238,402,data-intensive,"T2506,T1973",False
T2652,Task_2652,16,10,78,5,2,1037,908,204,data-intensive,,True
T2653,Task_2653,42,8,21,1,3,514,310,67,data-intensive,,False
T2654,Task_2654,46,2,34,4,3,941,235,221,data-intensive,"T2586,T1555",False
T2655,Task_2655,13,3,86,3,4,930,968,223,data-intensive,"T1643,T1701",True
T2656,Task_2656,45,3,20,4,1,1951,966,498,IO-bound,"T1713,T949",True
T2657,Task_2657,19,9,24,5,4,351,998,107,computation,T1355,True
T2658,Task_2658,46,9,82,2,2,1600,570,104,IO-bound,"T1100,T259",True
T2659,Task_2659,18,1,87,3,3,640,909,228,data-intensive,T2334,False
T2660,Task_2660,6,7,93,2,2,804,565,211,computation,"T667,T2573",True
T2661,Task_2661,35,9,37,1,2,300,898,453,data-intensive,T1418,True
T2662,Task_2662,40,9,49,3,3,1791,658,184,data-intensive,"T42,T1531",True
T2663,Task_2663,37,6,22,1,1,879,869,154,computation,T1458,False
T2664,Task_2664,9,6,70,2,2,1809,914,377,IO-bound,,False
T2665,Task_2665,24,7,47,5,2,1934,571,163,IO-bound,T251,True
T2666,Task_2666,9,5,59,3,4,1419,317,324,computation,T2656,False
T2667,Task_2667,34,3,24,1,2,1404,997,301,computation,,True
T2668,Task_2668,8,6,67,4,4,1694,676,155,computation,,True
T2669,Task_2669,26,9,43,4,1,906,189,337,computation,"T274,T476",False
T2670,Task_2670,25,5,26,3,3,1090,120,281,data-intensive,T1558,True
T2671,Task_2671,26,7,100,4,3,1206,182,154,data-intensive,,False
T2672,Task_2672,22,6,37,4,4,1380,245,194,computation,"T2391,T1261",False
T2673,Task_2673,5,3,74,1,3,827,725,47,IO-bound,"T262,T2184",True
T2674,Task_2674,30,3,66,1,2,270,479,495,computation,,True
T2675,Task_2675,14,10,65,2,2,1503,890,215,IO-bound,T2013,False
T2676,Task_2676,8,5,82,4,2,659,475,153,data-intensive,"T1645,T1669",True
T2677,Task_2677,2,5,37,1,1,636,390,242,data-intensive,"T998,T916",False
T2678,Task_2678,20,1,53,1,4,395,387,497,computation,T1309,True
T2679,Task_2679,5,6,24,4,4,525,508,495,computation,"T2514,T1803",False
T2680,Task_2680,22,7,27,4,3,595,770,245,IO-bound,"T1132,T904",True
T2681,Task_2681,0,2,55,2,3,1286,285,220,computation,"T2250,T259",False
T2682,Task_2682,45,6,25,3,2,326,101,293,IO-bound,,False
T2683,Task_2683,7,6,65,3,1,1321,880,252,data-intensive,,True
T2684,Task_2684,30,1,55,4,4,420,270,50,IO-bound,T971,False
T2685,Task_2685,14,9,28,5,2,1433,641,86,computation,"T2376,T1933",False
T2686,Task_2686,47,1,62,3,1,1006,919,94,data-intensive,"T817,T2180",False
T2687,Task_2687,35,3,88,1,3,475,809,339,data-intensive,"T2092,T248",False
T2688,Task_2688,12,10,53,4,3,1411,187,73,IO-bound,T2089,True
T2689,Task_2689,24,5,83,2,2,1168,169,139,IO-bound,"T31,T1926",False
T2690,Task_2690,8,8,77,5,2,1143,257,308,computation,"T2217,T2570",True
T2691,Task_2691,47,7,93,4,2,617,572,473,data-intensive,,False
T2692,Task_2692,40,10,75,4,2,1742,954,499,computation,,True
T2693,Task_2693,11,4,49,4,4,787,111,141,data-intensive,T2102,False
T2694,Task_2694,28,7,26,1,3,1477,303,485,data-intensive,"T317,T1130",False
T2695,Task_2695,21,1,28,1,4,674,699,67,computation,,True
T2696,Task_2696,35,3,94,3,3,1335,581,79,data-intensive,"T1971,T2274",False
T2697,Task_2697,30,4,81,4,4,420,833,190,data-intensive,T971,False
T2698,Task_2698,43,2,59,2,3,437,646,381,data-intensive,,True
T2699,Task_2699,6,9,38,5,2,1182,670,289,data-intensive,T2071,False
T2700,Task_2700,45,7,99,1,2,1886,333,195,IO-bound,T196,True
T2701,Task_2701,50,7,52,3,3,1717,406,468,IO-bound,,False
T2702,Task_2702,14,2,44,2,2,1669,882,41,data-intensive,,False
T2703,Task_2703,25,3,80,4,3,1873,306,411,data-intensive,T2586,True
T2704,Task_2704,27,1,59,3,3,1658,410,93,data-intensive,T2568,False
T2705,Task_2705,41,2,87,3,4,1930,639,206,data-intensive,"T2333,T473",True
T2706,Task_2706,0,10,70,3,3,1296,386,163,IO-bound,"T1486,T2534",False
T2707,Task_2707,46,6,70,1,3,409,376,14,computation,,True
T2708,Task_2708,26,4,28,3,3,798,616,203,data-intensive,T1666,True
T2709,Task_2709,15,4,73,4,4,867,384,215,computation,"T2088,T2706",True
T2710,Task_2710,0,5,78,2,4,1381,807,209,IO-bound,"T557,T478",True
T2711,Task_2711,42,6,31,3,1,1490,827,425,IO-bound,"T332,T1022",False
T2712,Task_2712,5,10,23,4,3,739,270,68,computation,T2325,True
T2713,Task_2713,41,1,64,1,4,916,741,176,IO-bound,T389,False
T2714,Task_2714,50,7,44,2,2,1453,720,92,IO-bound,T1839,True
T2715,Task_2715,44,9,88,3,1,1834,523,258,data-intensive,"T99,T2169",False
T2716,Task_2716,9,9,49,3,2,1903,273,129,IO-bound,,True
T2717,Task_2717,48,5,66,2,2,1996,838,265,IO-bound,T1756,True
T2718,Task_2718,46,1,22,1,2,1347,238,222,IO-bound,T550,False
T2719,Task_2719,32,1,87,5,1,718,515,92,data-intensive,T1411,True
T2720,Task_2720,22,3,52,4,2,1351,812,37,computation,T818,False
T2721,Task_2721,5,8,48,2,4,2047,383,378,IO-bound,T1220,True
T2722,Task_2722,13,9,22,4,3,476,307,23,IO-bound,"T725,T2250",True
T2723,Task_2723,25,5,41,4,1,2011,895,177,IO-bound,T2421,False
T2724,Task_2724,38,6,57,4,1,996,922,255,computation,T2262,False
T2725,Task_2725,13,4,43,4,4,1774,931,225,computation,,True
T2726,Task_2726,7,10,45,1,4,741,238,135,computation,,True
T2727,Task_2727,47,2,58,1,1,814,842,128,data-intensive,,False
T2728,Task_2728,0,10,42,3,4,1728,481,277,computation,,True
T2729,Task_2729,7,3,55,4,1,410,260,35,data-intensive,"T2389,T1996",True
T2730,Task_2730,25,7,73,1,2,1595,718,479,computation,"T1579,T1483",True
T2731,Task_2731,20,3,86,4,4,346,885,251,data-intensive,,False
T2732,Task_2732,2,2,26,2,2,1502,666,251,computation,,False
T2733,Task_2733,50,4,40,1,3,568,930,380,data-intensive,T1104,True
T2734,Task_2734,31,10,69,4,1,761,913,190,IO-bound,T1520,True
T2735,Task_2735,26,6,100,1,4,1185,537,454,IO-bound,"T1099,T2195",False
T2736,Task_2736,35,4,52,4,4,1923,689,471,data-intensive,,True
T2737,Task_2737,4,4,39,1,1,1805,814,205,data-intensive,"T982,T1797",True
T2738,Task_2738,5,1,49,5,3,1411,302,396,data-intensive,"T696,T1135",True
T2739,Task_2739,13,5,83,4,2,1096,586,336,data-intensive,,False
T2740,Task_2740,10,5,26,3,4,1947,747,496,IO-bound,"T2055,T1899",False
T2741,Task_2741,36,6,92,2,4,1244,457,27,computation,T281,False
T2742,Task_2742,1,10,37,2,4,347,789,235,IO-bound,T932,False
T2743,Task_2743,23,4,38,1,4,1414,103,369,IO-bound,"T1067,T2307",True
T2744,Task_2744,11,3,79,3,1,357,419,313,IO-bound,T392,True
T2745,Task_2745,7,3,95,4,2,899,705,489,computation,,False
T2746,Task_2746,41,9,79,5,4,2000,335,448,data-intensive,,True
T2747,Task_2747,43,2,80,1,1,1386,359,71,data-intensive,,False
T2748,Task_2748,24,8,93,5,3,1096,988,150,IO-bound,,False
T2749,Task_2749,20,9,42,5,1,1462,725,125,computation,,False
T2750,Task_2750,36,1,52,1,1,1848,894,66,computation,,True
T2751,Task_2751,10,5,34,4,1,1792,691,311,IO-bound,"T802,T981",True
T2752,Task_2752,2,7,48,3,4,797,976,82,IO-bound,T245,False
T2753,Task_2753,46,3,48,2,3,1681,671,282,computation,T582,True
T2754,Task_2754,45,1,87,4,4,602,457,323,computation,,False
T2755,Task_2755,0,5,68,3,2,710,992,122,computation,,True
T2756,Task_2756,16,7,21,1,4,1388,803,465,computation,,False
T2757,Task_2757,41,1,86,3,3,1634,952,3,IO-bound,"T1874,T1499",False
T2758,Task_2758,4,2,67,2,1,393,713,229,computation,,False
T2759,Task_2759,22,10,79,4,1,1679,345,260,data-intensive,T1543,True
T2760,Task_2760,32,5,68,3,2,270,683,38,IO-bound,"T1002,T652",True
T2761,Task_2761,33,4,20,5,3,1578,515,484,IO-bound,"T1190,T520",False
T2762,Task_2762,2,1,80,4,2,1362,136,445,IO-bound,,False
T2763,Task_2763,34,2,32,1,2,1030,640,485,IO-bound,,False
T2764,Task_2764,37,7,46,4,3,1440,149,149,computation,T1728,True
T2765,Task_2765,3,7,99,2,4,1389,773,111,IO-bound,"T99,T906",False
T2766,Task_2766,20,7,63,3,4,795,432,207,computation,,True
T2767,Task_2767,26,8,52,3,2,1154,430,386,computation,"T858,T530",False
T2768,Task_2768,24,5,34,3,2,1299,652,278,data-intensive,T2178,True
T2769,Task_2769,31,6,81,2,3,672,959,94,data-intensive,,False
T2770,Task_2770,16,9,20,2,2,1365,836,470,computation,"T2752,T1069",True
T2771,Task_2771,6,4,90,2,4,1526,868,14,IO-bound,"T1584,T2399",True
T2772,Task_2772,6,1,80,1,2,355,471,151,computation,T699,True
T2773,Task_2773,18,4,84,2,1,503,508,285,computation,"T1286,T839",False
T2774,Task_2774,17,6,36,1,3,1408,430,221,computation,"T2202,T1347",True
T2775,Task_2775,25,6,51,5,1,1454,526,494,data-intensive,T1888,True
T2776,Task_2776,49,4,98,4,2,1842,329,293,IO-bound,T2386,False
T2777,Task_2777,28,4,88,2,3,1331,380,97,IO-bound,,True
T2778,Task_2778,25,10,97,3,2,1895,747,312,data-intensive,,False
T2779,Task_2779,33,7,27,5,3,480,787,148,IO-bound,T1131,False
T2780,Task_2780,33,10,31,2,4,886,942,436,IO-bound,T591,True
T2781,Task_2781,34,5,39,2,1,1943,250,456,IO-bound,"T2402,T1179",False
T2782,Task_2782,1,2,32,4,4,275,482,277,computation,"T2202,T55",False
T2783,Task_2783,0,2,20,1,3,690,967,190,data-intensive,T1707,True
T2784,Task_2784,26,10,74,2,2,498,387,34,IO-bound,"T2439,T2374",False
T2785,Task_2785,42,3,52,2,3,1692,310,273,computation,T554,True
T2786,Task_2786,4,4,57,2,4,1693,311,86,IO-bound,,True
T2787,Task_2787,32,8,82,3,2,861,721,442,IO-bound,"T415,T1110",False
T2788,Task_2788,23,2,50,1,3,1956,806,67,data-intensive,"T460,T2065",False
T2789,Task_2789,29,8,89,4,4,731,184,52,computation,,False
T2790,Task_2790,10,7,62,2,1,1535,481,191,computation,"T1201,T282",False
T2791,Task_2791,10,8,74,5,1,801,334,372,data-intensive,,True
T2792,Task_2792,12,9,40,4,4,1242,826,0,data-intensive,T982,False
T2793,Task_2793,34,1,43,1,2,1704,999,470,IO-bound,T95,False
T2794,Task_2794,5,9,78,3,4,994,467,49,computation,T2039,False
T2795,Task_2795,2,5,49,1,3,1683,985,131,computation,"T583,T1180",True
